ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	AveExpr	RANGE_STRAND
8044700	8044700	0.000031993792790609	0.000000020488609195283	-49.0308421904739	10.5760369000699	-0.704296206511449	DPP10	2.33903329352099	+
8132667	8132667	0.0000505822828770439	0.0000000600549013316532	-40.2236840843928	10.0721682069523	-0.545232932919342	ADCY1	2.90227142811018	+
8054135	8054135	0.0000839400074717454	0.000000217688714818857	-31.7229695796789	9.30654065000615	-0.551175014818698	MGAT4A	2.89221801936981	-
8042439	8042439	0.0000847005393955446	0.000000241019580658287	31.1324859107366	9.2383869728146	0.543998325520712	ANTXR1	3.0221626950998	+
8122396	8122396	0.000104914053151721	0.000000386274320876668	28.5358060545301	8.90839433010398	0.712907359758729	AIG1	2.56554138359987	+
8117321	8117321	0.000107428768163222	0.000000422123497315341	28.0717274920586	8.84372092003142	0.796232897930875	TRIM38	2.23404303979796	+
8116835	8116835	0.000138109358689033	0.000000755417630975224	-25.2079227320849	8.4000443992163	-0.307555822770284	GCNT2	2.5875421000285	+
8037374	8037374	0.00014141792490829	0.00000084890718537538	24.6694446052417	8.30711752305825	0.441280728496065	PLAUR	3.04032761717884	-
8096385	8096385	0.000158814172700741	0.00000109517537281408	23.5329371760912	8.09981872314253	0.461604691608653	HERC3	2.82935003712437	+
8123609	8123609	0.000170660969655793	0.00000127168987732447	22.8903327879453	7.97544599842473	0.672701977854421	SERPINB9	2.52901508838119	-
8047272	8047272	0.000178436207183494	0.00000145747837927176	22.3189965678996	7.86021918973711	0.82730672982869	SPATS2L	2.85657589024343	+
7908459	7908459	0.000220404367226377	0.00000225418524844046	20.5841422738288	7.48105730481644	0.810433527669173	CFH	2.63613407489732	+
7908924	7908924	0.000224026646195032	0.00000232198652502508	-20.4711622747779	7.45472155930205	-0.296695696848785	PRELP	2.91025261398429	+
8115490	8115490	0.000226918748555559	0.00000244217143331054	20.2801627045991	7.40971301266339	0.500350973754825	ADAM19	3.12293197318835	-
7976012	7976012	0.000263184030238324	0.0000033548411391414	-19.1177283024395	7.12197679538015	-0.250199140144379	NRXN3	3.21295437661438	+
8048940	8048940	0.000280167896835505	0.0000038015083557406	18.6781758472965	7.00662465699833	0.664446253025096	SP100	2.27381710581122	+
8096682	8096682	0.000285639785334665	0.00000389737772137579	-18.5917746861564	6.98350377333429	-0.675389567965166	ARHGEF38	2.49866205719467	+
7955441	7955441	0.000307503751616658	0.00000442488575520955	-18.1574128888255	6.86497361606719	-0.242943443563577	METTL7A	2.92453639830798	+
8171297	8171297	0.000311066633659951	0.00000453303995711261	18.0759072184472	6.84229665359499	0.307346926561971	MID1	3.26705504480136	-
8120362	8120362	0.000322086904143033	0.00000481138618886612	17.8762881682798	6.78616209943657	0.653575885412529	BEND6	2.47194952693493	+
7917875	7917875	0.000350296744355737	0.00000554908366418543	17.4071091398889	6.65080818703066	0.395364580092811	F3	2.60848450182365	-
